Model,MAE,MSE,R2
LinearRegression,82657.94605891762,10549721686.15797,0.9146454505138175
RobustRegression,199465.55955429273,61664910393.24933,0.5010881990728191
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
Elasticnet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44733316025,10604968484.865313,0.9141984656781506
SGDRegressor,2.2072246864273994e+18,5.021083091414887e+36,-4.062403710258303e+25
ANN,199468.847793489,61508363257.099945,0.5023547737443494
RandomForest,97459.87154595199,14822253226.326395,0.8800777135037436
SVR,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
